Name,District,Town,Address,latitude,longitude,Date,Cancelled,Registered,Store
Acacia Superspar,South-East,Phakalane,"Plot 75123, Acacia Mall, Phakalane",-24.55096485,25.98687975,08/09/2017,,Y,spar
Airport Junction Spar,South-East,Gaborone,"Plot 70665, Shop 19 Airport Junction",-24.60295243,25.92645765,02/07/2013,,Y,spar
Bamangwato Spar,Central,Palapye,"Plot 1707, Unit No.8 Lobatse Complex, Palapye",,,02/07/2013,,Y,spar
Boiteko Junction Spar,Central,Serowe,"Plot 2461, Boiteko Junction, Serowe",-22.42064411,26.74521282,01/06/2017,,Y,spar
Boseja Spar,North-West,Maun,"Plot 43094, Boseja Ward, Maun",-19.97749621,23.43147445,28/04/2022,,Y,spar
Cbd Spar,Sount-East,Gaborone,"Lot 54381, The Square New Cental Business District, Gaborone",,,26/06/2014,,Y,spar
Co-Op Spar,South-East,Gaborone,"Plot 1109 -114, Main Mall, Gaborone,",-24.6576788,25.91560483,13/01/2020,,Y,spar
Francistown Spar,North-East,Francistown,"Plot 904, Unit 10 & 11, Nzano Shopping Centre, Francistown",-21.17805024,27.51183863,02/07/2013,,Y,spar
G-West Spar,South-East,Gaborone,"G-West Shopping Center, Gaborone West Phase 1, Gaborone",-24.65284937,25.88880404,10/12/2019,,Y,spar
Ghanzi Spar,Ghanzi,Ghanzi,"Plot 29, Ghanzi",-21.69449131,21.64874028,13/03/2013,,Y,spar
Kanye Spar,Southern,Kanye,"Tribul Lot 6602, Mongala Mall, Kanye",-24.98103226,25.34252372,08/07/2014,,Y,spar
Kasane Spar,Chobe,Kasane,"Plot 2208, Unit 6 Hunters Africa, Kasane",-17.79579162,25.15288163,02/07/2013,,Y,spar
Kgabo Spar,Kgatleng,Mochudi,"Plot 2985 Kgabo Mall Shopping Center, Phaphane, Mochud",-24.40657087,26.1067439,08/11/2018,,Y,spar
Kgale Spar,South-East,Gaborone,"Area 388 - Ko, Farm Forest Hill No9 - Ko Kgale, Gaborone",-24.6781212,25.88193758,24/09/2013,,Y,spar
Kwena Spar,Kweneng,Mogoditshane,"Plot 1359, Kwena Mall, Mogoditshane",-24.61396369,25.86900714,10/12/2019,,Y,spar
Kweneng Spar,Kweneng,Mogoditshane,"Plot 25917, Shop No.7, Turnrite Shopping Centre, Tsolamosese, Mogoditshane,",,,12/12/2019,,Y,spar
Letlhakane Spar,Central,Letlhakane,"Tawana Ward Letlhakane Shopping Centre, Letlhakane",-21.41324324,25.5833405,28/06/2013,,Y,spar
Lobatse Spar,South-East,Lobatse,"Plot 14076, Peleng Ward, Lobatse",-25.22914852,25.67238302,24/08/2021,,Y,spar
Mafenyatlala Spar,Kweneng,Molepolole,"Plot 39, Shop 21 Mafenyatlala Mall, Molepolole",-24.40799763,25.5035182,02/07/2013,,Y,spar
Mahalapye Spar,Central,Mahalapye,"Plot 779 And 1082 Main Mall, Tshosa 2, Mahalapye",,,23/09/1994,,Y,spar
Main Mall Spar,Central,Mahalapye,"Plots 799 And 1082, Main Mall, Mahalapye",-23.11334925,26.8337605,08/07/2014,,Y,spar
Marang Spar,North-East,Francistown,"Plot 32397, Golden Valley Complex, Francistown",-21.18459339,27.53340893,28/06/2013,,Y,spar
Molepolole Spar,Kweneng,Molepolole,"Plot 1722, Molepolole",-24.40351997,25.52584701,18/07/2013,,Y,spar
Nswazwi Spar,North-East,Francistown,"Plot 16177 - 161185, Nswazwi Mall Blue Jacket Street, Francistown",-21.17019915,27.51089112,28/06/2013,,Y,spar
Orapa Spar,Central,Orapa,"Sable Avenue, Orapa",-21.33133086,25.36723087,28/06/2013,,Y,spar
Palapye Junction Spar,Central,Palapye,"Plot 27737, Palapye Junction Shopping Centre, Palapye",-22.54188112,27.08791614,25/10/2017,,Y,spar
Palapye Spar,Central,Palapye,"Plot 68, Shop No.11, Palapye Mall, Palapye",-22.55440572,27.13435054,02/07/2013,,Y,spar
Pula Spar,South-East,Gaborone,"Plot 54502, Block 6, Gaborone",-24.61196682,25.88331088,10/12/2019,,Y,spar
Rail Park Spar,South-East,Gaborone,"Plot 4716, Shop G35, Rail Park Mall, Gaborone",-24.65191328,25.90253695,17/06/2014,,Y,spar
Mochudi Spar,Kgatleng,Mochudi,"Plot 2908, Rammopyana Ward, Mochudi",-24.39262477,26.14437905,08/07/2014,,Y,spar
Serowe Spar,Central,Serowe,"Plot 3831, Main Mall, Serowe",-22.38778227,26.70398658,27/06/2013,,Y,spar
Tlokweng Road Spar,South-East,Tlokweng,"Plot 25117, Shop 5 Extension 15, Tlokweng Road, Riverwalk, Gaborone",-24.67075782,25.93355181,08/07/2014,,Y,spar
Tswana Spar,South-East,Gaborone,"Plot 27332, Block 3, Gaborone",-24.62382725,25.90974673,10/12/2019,,Y,spar
Tutume Spar,Central,Tutume,"Plot 2085, Mojanaga Shopping Complex Madikwe Ward, Tutume",-20.49075691,27.04043613,29/06/2016,,Y,spar
