District,Town,Population
Central,Bobonong,21216
Central,Letlhakane,36338
Central,Mahalapye,48431
Central,Palapye,52636
Central,Phikwe,42488
Central,Serowe,55676
Central,Shoshong,8887
Central,Sebina,3865
Central,Tonota,23296
Central,Tutume,18582
Central,Nata,7779
Chobe,Kasane,9095
Ghanzi,Ghanzi,19012
Kgalagadi,Tsabong,11651
Kgalagadi,Kang,6764
Kgatleng,Mochudi,50797
kgatleng,Pilane,
Kweneng,Gabane,20010
Kweneng,Mogoditshane,88430
Kweneng,Metsimotlhabe,11589
Kweneng,Molepolole,74674
Kweneng,Letlhakeng,8343
Kweneng,Thamaga,25297
Kweneng,Thebephatswa,
north-East,Francistown,103422
North-East,Masunga,6216
North-West,Maun,85873
North-West,Gumare,11572
South-East,Gaborone,246323
south-East,Lobatse,29772
South-East,Phakalane,
South-East,Tlokweng,55508
South-East,Lobatse,29772
South-East,Ramotswa,33271
South-East,Glen Valley,3132
Southern,Jwaneng,18784
Southern,Kanye,48028
Southern,Moshupa,23858
Southern,Pitsane,4312
Southern,Goodhope,5672
Southern,Molapowabojang,8722
